Year,Month,Rainfall,Lag1Rainfall,Lag2Rainfall,RH,MaxT,MinT,AvgT,Lag1AvgT,Lag2AvgT,DC,DD,DC1,GF,GFlog,Gfexp,RY,,,,,DCY,DDY,,,
2013,8,222.2,296.4,319.4,81.26612903,32,26.2,29.1,29.85,30.45,353,1,354,1.401129944,0.146478414,1.157749939,,,,,,,,,,
2013,9,168.4,222.2,296.4,81.8625,32.6,26.3,29.45,29.1,29.85,495,1,496,0.733870968,-0.134380293,0.874257527,,,,,,,,,,
2013,10,123.7,168.4,222.2,79.41129032,31.5,24.4,27.95,29.45,29.1,363,0,364,0.585164835,-0.23272178,0.792373997,,,,,,,,,,
2013,11,0,123.7,168.4,67.27083333,30.2,18.5,24.35,27.95,29.45,212,0,213,0.276995305,-0.557527592,0.572623073,,,,,,,,,,
2013,12,4,0,123.7,73.34677419,26.3,15.6,20.95,24.35,27.95,58,0,59,0.271186441,-0.566732029,0.567376583,,,,,,,,,,
2014,1,0,4,0,73.19758065,24.3,13.7,19,20.95,24.35,15,0,16,0.5,-0.301029996,0.740055574,1393.6,,,,,375,0,,,
2014,2,12.2,0,4,62.4375,27.2,15.8,21.5,19,20.95,7,0,8,0.375,-0.425968732,0.653136764,,,,,,,,,,
2014,3,10.3,12.2,0,52.73790323,32.4,20.6,26.5,21.5,19,2,0,3,0.333333333,-0.477121255,0.620567278,,,,,,,,,,
2014,4,80.3,10.3,12.2,56.55,36.4,25.1,30.75,26.5,21.5,0,0,1,9,0.954242509,2.596702859,,,,,,,,,,
2014,5,150,80.3,10.3,69.37096774,35.2,26.7,30.95,30.75,26.5,8,0,9,1.111111111,0.045757491,1.046820517,,,,,,,,,,
2014,6,337.5,150,80.3,78.32916667,33.2,26.5,29.85,30.95,30.75,9,0,10,8.3,0.919078092,2.506978121,,,,,,,,,,
2014,7,211.2,337.5,150,77.63306452,32.9,26.9,29.9,29.85,30.95,82,0,83,0.975903614,-0.010593073,0.989462836,,,,,,,,,,
2014,8,389.4,211.2,337.5,82.7016129,32.2,26.3,29.25,29.9,29.85,80,0,81,0.950617284,-0.021994294,0.978245817,,,,,,,,,,
2014,9,153.9,389.4,211.2,77.1,32.9,26.5,29.7,29.25,29.9,76,0,77,0.831168831,-0.080310751,0.922829532,,,,,,,,,,
2014,10,48.8,153.9,389.4,72.68548387,32.2,24,28.1,29.7,29.25,63,0,64,0.359375,-0.444452138,0.641175455,,,,,,,,,,
2014,11,0,48.8,153.9,67.3,30.2,19.7,24.95,28.1,29.7,22,0,23,0.52173913,-0.28254659,0.753861519,,,,,,,,,,
2014,12,0,0,48.8,78.22177419,24.5,15.1,19.8,24.95,28.1,11,0,12,0.083333333,-1.079181246,0.339873685,,,,,,,,,,
2015,1,3.2,0,0,71.10483871,24.8,14.6,19.7,19.8,24.95,0,0,1,1,0,1,2162.1,,,,,3162,6,,,
2015,2,17.6,3.2,0,63.68303571,28.4,17,22.7,19.7,19.8,0,0,1,3,0.477121255,1.611428826,,,,,,,,,,
2015,3,4.2,17.6,3.2,53.29032258,32.1,20.7,26.4,22.7,19.7,2,0,3,2.333333333,0.367976785,1.444808497,,,,,,,,,,
2015,4,167,4.2,17.6,68.825,32.8,23.4,28.1,26.4,22.7,6,0,7,1.571428571,0.196294645,1.216885402,,,,,,,,,,
2015,5,184.3,167,4.2,71.67741935,34.1,25.5,29.8,28.1,26.4,10,0,11,2.636363636,0.421005313,1.523492373,,,,,,,,,,
2015,6,373.3,184.3,167,78.075,32.7,26.7,29.7,29.8,28.1,28,1,29,5.931034483,0.773130449,2.166537885,,,,,,,,,,
2015,7,694.4,373.3,184.3,82.25403226,31.7,26.1,28.9,29.7,29.8,171,2,172,4.453488372,0.648700323,1.913052862,,,,,,,,,,
2015,8,329.9,694.4,373.3,80.18951613,32.6,26.9,29.75,28.9,29.7,765,1,766,1.261096606,0.100748357,1.10599829,,,,,,,,,,
2015,9,336.5,329.9,694.4,78.94583333,32.9,26.1,29.5,29.75,28.9,965,0,966,0.900621118,-0.045457874,0.955559856,,,,,,,,,,
2015,10,50.3,336.5,329.9,73.75403226,32.4,24.2,28.3,29.5,29.75,869,0,870,0.312643678,-0.504950349,0.603535541,,,,,,,,,,
2015,11,0,50.3,336.5,70.025,30.2,19.9,25.05,28.3,29.5,271,2,272,0.279411765,-0.553755312,0.574787247,,,,,,,,,,
2015,12,1.4,0,50.3,69.05241935,25.9,16.3,21.1,25.05,28.3,75,0,76,0.184210526,-0.734685557,0.47965626,,,,,,,,,,
2016,1,2.8,1.4,0,69.31048387,24.9,14.2,19.55,21.1,25.05,13,0,14,0.285714286,-0.544068044,0.580382422,1360,,,,,6060,14,,,
2016,2,12.2,2.8,1.4,63.94827586,29.8,19.1,24.45,19.55,21.1,3,0,4,4.5,0.653212514,1.921704426,,,,,,,,,,
2016,3,76.2,12.2,2.8,60.0766129,33.1,22.6,27.85,24.45,19.55,17,0,18,2.166666667,0.335792102,1.399048135,,,,,,,,,,
